name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Daniel-Olivier BOULANGER-TROTTIER	CAN	1996-03-31	Montreal, QC	174	Sainte-Anne-des-Plaines, QC	student	reading, quality time with friends, training	2002	Sainte-Anne-des-Plaines FSC	Yves Desjardins	Shawn Sawyer, Sebastien Britten	NA	20	Rosemere, QC	19	Rosemere, QC	http://www.isuresults.com/bios/isufs00014557.htm	Daniel-Olivier	BOULANGER-TROTTIER
Jeffrey BUTTLE	CAN	1982-09-01	Smooth Rock Falls, ON	173	Barrie, ON	athlete	reading, movies, games	1984	Sudbury SC	Lee Barkell, Rafael Aratunian	David Wilson	Doug Leigh, Wendy Phillion	24	Lake Arrowhead, USA	24	Barrie, ON	http://www.isuresults.com/bios/isufs00003253.htm	Jeffrey	BUTTLE
Edrian Paul CELESTINO	CAN	1998-04-07	Montreal, QC	176	Dollard-Des-Ormeaux, QC	student	video games, anime, music	2002	CPA St. Laurent Montreal	Daniel Beland	David Wilson	Melanye Goldyn	14	Beaconsfield, QC	19	Montreal, QC	http://www.isuresults.com/bios/isufs00015005.htm	Edrian Paul	CELESTINO
Patrick CHAN	CAN	1990-12-31	Ottawa, ON	171	Toronto, ON	athlete	golf,skiing, surfing, tennis, cars	1996	Granite Club Toronto	Kathy Johnson	David Wilson	Christy Krall, Eddie Shipstad,  Don Laws, Ellen Burka, Shin Amano, Osborne Colson, Mei Yang	25	Bloomfield Hills/USA	25	Bloomfield Hills/USA	http://www.isuresults.com/bios/isufs00007980.htm	Patrick	CHAN
Antony CHENG	CAN	1997-12-29	Vancouver, BC	165	Richmond Hill, ON	high school student	photography, music, dance	2005	Thornhill FSC Markham	Katerina Papafotiou, Joanne McLeod	Myke Gilman, Joanne McLeod	Ken Rose	18	Burnaby	20	Markham	http://www.isuresults.com/bios/isufs00034624.htm	Antony	CHENG
Vaughn CHIPEUR	CAN	1984-12-21	Lloydminster, SK	168	Calgary, AB	athlete	playing the guitar, drums, cars, motorcycles, cooking	1990	Calalta FSC	Scott Davis, Jeff Langdon	Tom Dickson, Shae-Lynn Bourne	Michael Jiranek, Katherine Co	26	Calgary	27	Calgary	http://www.isuresults.com/bios/isufs00005664.htm	Vaughn	CHIPEUR
Marc Andre CRAIG	CAN	1982-10-21	Sherbrocke, QC	179	Saint Hubert, QC	coach, network administrator	going to restaurants, cooking, meeting friends	1988	Valcourt	Josee Normand, Nancy Lemieux	Sebastien Britten, K. Browning, B. Orser	Andre Parent, Line Garneau	20	Brossard	25	Brossard	http://www.isuresults.com/bios/isufs00004441.htm	Marc Andre	CRAIG
Cederic DEMERS	CAN	1986-06-16	Sherbrooke, QC	165	Sherbrooke, QC	NA	swimming, reading	1989	CPA Sherbrooke	Manon Perron, Nathalie Martin	Judith Rise-Maltais, David Wilson	Marie Houde, Josee Seguin, Martine Gautreau	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00004795.htm	Cederic	DEMERS
Jayson DENOMMEE	CAN	1977-03-31	Sherbrooke, Quebec	173	Asbestos, Quebec	Full-time Athlete	NA	1984	CPA Sherbrooke	Jos�e Normand	Julie Brault	NA	NA	St. Leonard	NA	St. Leonard	http://www.isuresults.com/bios/isufs00000248.htm	Jayson	DENOMMEE
Dave FERLAND	CAN	1989-09-30	Alma QC	NA	NA	student	tennis, dance	1993	NA	Nathalie Martin, Danielle Robillard	Sebastien Britten, Annik Schmith	M. Picard	25	Montreal	20	Montreal	http://www.isuresults.com/bios/isufs00009405.htm	Dave	FERLAND
Ben FERREIRA	CAN	1979-04-05	Vancouver, BC	178	Barrie, ON	Athlete	cars, music, computers, movies	1991	CO Section Concord ON	Douglas Leigh, Michelle Leigh	David Wilson	Jan Ullmark	20	Mariposa School of Skating	20	Mariposa School of Skating	http://www.isuresults.com/bios/isufs00000110.htm	Ben	FERREIRA
Liam FIRUS	CAN	1992-07-02	North Vancouver	170	North Vancouver	university student	reading, hiking, cliff jumping	2000	Vancouver Skating Club	Christy Krall, Damon Allen	Mark Pillay	Erik Schulz, Lorna Bauer, Rod Mackie, Scott Davis	23	Colorado Springs/USA	23	Colorado Springs/USA	http://www.isuresults.com/bios/isufs00010684.htm	Liam	FIRUS
Mitchell GORDON	CAN	1996-06-12	Vancouver, BC	176	Vancouver, BC	student	computer games, reading, fishing, friends	1999	Connaught SC Richmond	Keegan and Eileen Murphy	Mark Pillay	Christine Goodall, George Yuhas	22	Richmond BC	22	Richmond BC	http://www.isuresults.com/bios/isufs00013689.htm	Mitchell	GORDON
Anthony KAN	CAN	1995-08-03	Hong Kong HKG	171	Coquiltam BC	student	songwriting, singing, ukulele playing, rollerblading, drawing, painting	2001	YRSA Winter Club Richmond Hill Ontario	Heather Austman, Keegan Murphy	Susie McGrigor, Keegan Murphy	Tracey Wainman, Grzegorz Filipowski	23	Coquiltam, BC and Richmond, ON	23	Coquiltam, BC and Richmond, ON	http://www.isuresults.com/bios/isufs00014083.htm	Anthony	KAN
Jean-Simon LEGARE	CAN	1989-05-31	Quebec City	182	St-Leonard	student	music, reading, alpine skiing, movies	1993	CPA Villeneuve	Manon Perron, Nathalie Martin, Daniele Robillard	David Wilson	Stephane Yvars, CHantale Tremblay	20	NA	20	NA	http://www.isuresults.com/bios/isufs00008925.htm	Jean-Simon	LEGARE
Maxim LIPPE	CAN	1984-02-27	Laval, QC.	168	Laval, QC:	student	NA	1987	CPA Laval	Jocelyne Leduc, Daniel Belec	Annick Schmidt, Julie Marcotte	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00004381.htm	Maxim	LIPPE
Andrew LUM	CAN	1989-07-25	Vancouver	163	Burnaby	student	lacrosse, movies, video games	1994	North Shore SC	Joanne Mcleod, Jill Marie Harvey	Joanne Mcleod, David Wilson, Shae-Lynn Bourne	NA	13	Burnaby	13	Burnaby	http://www.isuresults.com/bios/isufs00009837.htm	Andrew	LUM
Eric LYONS	CAN	1984-02-01	North Vancouver, BC	178	North Vancouver, BC	student, coach, receptionist	hockey, friends	1992	North Shore WC	Lorna Bauer	Lorna Bauer, Eric Lyons	NA	12	Vancouver	11	Vancouver	http://www.isuresults.com/bios/isufs00005149.htm	Eric	LYONS
Christopher MABEE	CAN	1985-08-26	Tillsonburg, ON	175	Barrie, ON	athlete	reading, computers, dancing, swimming	1992	Tillsonburg SC	Lee Barkell, Doug Leigh	Lori Nichol	Doug Haw, H. Hayward, S. Ball, P. Wirtz	25	Barrie	25	Barrie	http://www.isuresults.com/bios/isufs00004411.htm	Christopher	MABEE
Ian MARTINEZ	CAN	1988-12-05	Laval QC	178	Montreal QC	looking for a job in a restaurant	music, soccer, video games, skiing, camping	1997	CPA Laval	Daniele Robillard, Natalie Martin	Julie Marcotte	Eric Therrien	25	St-Leonard	29	St-Leonard and Laval	http://www.isuresults.com/bios/isufs00009268.htm	Ian	MARTINEZ
Matthew McEWAN	CAN	1988-09-10	Surrey, BC	NA	Surrey, BC	student	skiing, juggling, movies	NA	NA	Tina Leininger	Tina Leininger	Bruno Delmaestro	20	Burnaby, BC	25	Burnaby, BC	http://www.isuresults.com/bios/isufs00007087.htm	Matthew	McEWAN
Keegan MESSING	CAN	1992-01-23	Girdwood USA	163	Girdwood USA	athlete	skiing, mountain biking, hiking	1995	Sherwood Park FSC	Ralph Burghardt	Douglas Webster	Anne Durham	25	Anchorage/USA	20	Anchorage/USA	http://www.isuresults.com/bios/isufs00010278.htm	Keegan	MESSING
Karolin METIVIER	CAN	1986-10-16	St. Georges, QC	165	St. Georges, QC	student	pets, flowers	1997	CPA St. Romuald	Ian Connolly, Stephen Yvars, Thierry Yvars	Annik Schmidt	Lise Bellemare, Sylvie Faucher	18	Boucherville, QC	20	Boucherville, QC	http://www.isuresults.com/bios/isufs00007876.htm	Karolin	METIVIER
h / week 	Music Short Program / Original Dance as of 2002/2003 season  	NA	CAN	NA	cm 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00006323.htm	h / week	
Samuel MORAIS	CAN	1992-05-01	Laval QC	192	Laval QC	student	hockey, tennis, wii	1995	C.P.A Laval	Louise Micheud	Shae-Lynn Bourne, Patrice Lauzon	NA	28	Laval	24	Laval	http://www.isuresults.com/bios/isufs00011079.htm	Samuel	MORAIS
Keegan MURPHY	CAN	1985-08-29	Vancouver	NA	NA	student	music	1988	Squamish Skating Club	Eileen Murphy	Mark , Mitch Millar	NA	20	Burnaby, BC	20	Burnaby, BC	http://www.isuresults.com/bios/isufs00004475.htm	Keegan	MURPHY
Nicolas NADEAU	CAN	1997-09-30	Montreal, QC	180	Boisbriand, QC	student	playing x-box, skiing	2003	CPA Boisbriand	Yvan Desjardins	Sylvain Bouillere (FS), Shae-Lynn Bourne (SP)	NA	20	Rosemere, QC	18	Rosemere, QC	http://www.isuresults.com/bios/isufs00054342.htm	Nicolas	NADEAU
Nam NGUYEN	CAN	1998-05-20	Ottawa	178	Toronto	student	electronic games, hanging out with friends	2003	Toronto Cricket Skating & Curling Club	Brian Orser, Tracy Wilson, Ernest Pryhitka	Jeffrey Buttle, David Wilson	Joanne McLeod, Kevin Bursey	28	Toronto	28	Toronto	http://www.isuresults.com/bios/isufs00012641.htm	Nam	NGUYEN
Peter O BRIEN	CAN	1994-05-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013245.htm	Peter O	BRIEN
Joseph PHAN	CAN	2001-08-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00015182.htm	Joseph	PHAN
Paul POIRIER	CAN	1991-11-06	Ottawa, ON	176	Unionville, ON	student	reading, dancing, travelling	1998	Scarboro FSC	Mark Batak	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00008883.htm	Paul	POIRIER
Kevin REYNOLDS	CAN	1990-07-23	North Vancouver, BC	177	Coquiltam, BC	student	computers, video games, music, golf, studying Japanese	1994	Champs International Skating Center	Joanne McLeod	Shae-Lynn Bourne (SP), Mark Pillay (FS)	NA	NA	Burnaby	NA	Burnaby	http://www.isuresults.com/bios/isufs00007361.htm	Kevin	REYNOLDS
Andrei ROGOZINE	CAN	1993-01-29	Moscow RUS	172	Newmarket, ON	coach, student	being outdoors, movies,  driving around, spending time with his girlfriend	1999	Richmond Hill SC	Tom Zakrajsek	Lori Nichol	Inga Zusev, Andrei Berezintsev	30	Colorado Springs/USA	25	Colorado Springs/USA	http://www.isuresults.com/bios/isufs00010380.htm	Andrei	ROGOZINE
Ken ROSE	CAN	1986-05-16	Newmarket, ON	170	Newmarket	skating coach	golf, movies	1993	Richmond Hill FSC	Linda Bridge	Linda Bridge	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00005608.htm	Ken	ROSE
Joey RUSSELL	CAN	1988-06-24	Labrador City, NL	179	Barrie, ON	athlete	travelling, music, movies, painting, reading	1994	Polaris Labrador City	Lee Barkell, Doug Leigh	Pasquale Camerlengo	Jan Ullmark	25	Barrie, ON	28	Barrie, ON	http://www.isuresults.com/bios/isufs00008552.htm	Joey	RUSSELL
Roman SADOVSKY	CAN	1999-05-31	Toronto ON	173	Vaughan ON	student	guitar, drums, basketball, volleyball, tennis, video games	2004	York Region Skating Academy	Tracy Wainman, Gregor Filipowski	Gregor Filipowski, Mark Pillay	Allen Carson	21	Richmond Hill	21	Richmond Hill	http://www.isuresults.com/bios/isufs00014082.htm	Roman	SADOVSKY
Emanuel SANDHU	CAN	1980-11-18	Toronto, ON	183	Burnaby, BC	full-time Athlete	singing, dancing, music writing, charity, reading	1988	North Shore Winter Club	Joanne McLeod	Joanne McLeod	NA	23	Burnaby, BC	23	Burnaby, BC	http://www.isuresults.com/bios/isufs00002073.htm	Emanuel	SANDHU
Shawn SAWYER	CAN	1985-01-14	Edmundston, NB	164	St-Julie QC	artist	painting, yoga, dogs	1994	C.P.A. Varennes	Annie Barabe, Sophie Richard, Yvan Desjardin	David Wilson, Marie-France Dubreuil	Gordon Forbes, Alexei Tchetveroukhin	28	Contrecoeur QC	29	Contrecoeur QC	http://www.isuresults.com/bios/isufs00004669.htm	Shawn	SAWYER
Elvis STOJKO	CAN	1972-03-22	Newmarket, Ontario	170	Richmond Hill, Ontario	Full time athlete	motorcross, martial arts, dirtbiking, e-mail	1976	Richmond Hill FSC	Uschi Keszler	Uschi Keszler	Dough Leigh	NA	Ice Works, Ashton, Pennsylvania (USA)	NA	Ice Works, Ashton, Pennsylvania (USA)	http://www.isuresults.com/bios/isufs00000560.htm	Elvis	STOJKO
Jeremy TEN	CAN	1989-02-21	Burnaby	170	Vancouver	university graduate	dancing, fashion, socializing, travel, fitness, sports, eating out	1999	Grandview FSC	Joanne McLeod, Neil Wilson, M. Wing, A. Lowe	Joanne McLeod, Megan Wing	George Yuhas, Eileen Murphy, Bruno Marcotte	20	Burnaby	18	Burnaby	http://www.isuresults.com/bios/isufs00007655.htm	Jeremy	TEN
Bennet TOMAN	CAN	1997-04-23	Montreal, QC	163	Brampton, ON	pupil	playing with his puppies, hking, playing golf with his grandparents	2003	CPARV Vaudreuil Quebec	Robert O'Toole	Mary Angela Larner	Daniel Beland	25	Mississauga, ON	25	Mississauga, ON	http://www.isuresults.com/bios/isufs00034396.htm	Bennet	TOMAN
Sean WIRTZ	CAN	1979-10-31	Marathon, ON	175	Lodi, NJ	Full-time athlete	listening to music	1992	Kerrisdale FSC	Paul Wirtz	Steven Belanger	NA	NA	Le 2 Glaces de Candiac	NA	Le 2 Glaces de Candiac	http://www.isuresults.com/bios/isufs00004847.htm	Sean	WIRTZ
Jackson WOOD	CAN	1991-08-02	Fredericton NB	183	Oromocto NB	student	photography, camping, waterskiing	1996	Oromocto SC	Karen Alexander, Lee Barkell	Charlene Vienneau	NA	22	Barrie ON	18	Oromocto NB	http://www.isuresults.com/bios/isufs00011253.htm	Jackson	WOOD
Kevin WOYTAS	CAN	1984-01-09	Vancouver, BC.	178	port Coquitlam, BC.	Student, Assistent Coach	NA	1985	Coquitlam FSC	Bruno Delmaestro	Bruno Delmaestro, Kevin Woytas	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00005607.htm	Kevin	WOYTAS
Nicholas YOUNG	CAN	1982-10-03	Pembroke, ON	165	St-Hubert, QC	student, coach, athlete	cinema	1993	QC Section, Montreal	Josee Normand, Sebastien Britten	David Wilson, Sebastien Britten	NA	NA	Brossard, QC	NA	Brossard, Qc	http://www.isuresults.com/bios/isufs00004412.htm	Nicholas	YOUNG
Yang AN	CHN	1984-07-23	Harbin	170	Beijing	Student	music	NA	music	Zhaoxiao Xu	NA	NA	18	Harbin	18	Harbin	http://www.isuresults.com/bios/isufs00005376.htm	Yang	AN
Peitong CHEN	CHN	1989-07-20	Changchun	177	Beijing	student	music	NA	Beijing Century Star SC	Haijun Gao	Feng Huang	NA	28	Beijing	30	Beijing	http://www.isuresults.com/bios/isufs00007131.htm	Peitong	CHEN
Gongming CHENG	CHN	1990-01-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00009665.htm	Gongming	CHENG
Jinlin GUAN	CHN	1989-04-25	Qiqihar	178	Beijing	college student	reading, music, computer games, dancing	1995	Harbin Training Centre	Ying Liu	Hailan Jiang	NA	27	Beijing	27	Beijing	http://www.isuresults.com/bios/isufs00007973.htm	Jinlin	GUAN
Yuhang GUAN	CHN	1993-07-01	Harbin	176	Harbin	student	swimming, internet, shopping	1999	Harbin Training Centre	Shuguang Jia	Elvin Wong	Zhiying Liu, Xiujing Chen	24	Beijing	24	Beijing	http://www.isuresults.com/bios/isufs00012096.htm	Yuhang	GUAN
Zhengxin GUO	CHN	1979-08-01	Harbin	174	Harbin	Student	basketball	1985	Harbin Skating Club	Yu Sun	NA	Hongyun Liu	18	Harbin	18	Harbin	http://www.isuresults.com/bios/isufs00000300.htm	Zhengxin	GUO
Boyang JIN	CHN	1997-10-03	Harbin	168	Harbin	student	music, model cars, internet	2006	Heilongjiang Ice Training Centre	Zhaoxiao Xu, Caishu Fu	Justin Dillon	Xiujing Chen	26	Harbin	28	Harbin	http://www.isuresults.com/bios/isufs00013802.htm	Boyang	JIN
Chengjiang LI	CHN	1979-04-28	Changchun	170	Changchun	student	music, basketball, swimming	1983	Changchun Club	Lijie Yu	Wei Liu, Gorsha Sur	Haijun Gao	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00000301.htm	Chengjiang	LI
Yunfei LI	CHN	1979-06-11	Harbin	172	Beijing	Student	reading, music	1984	Harbin Skating Club	Lijie Yu	NA	Tian Qiusheng	NA	Beijing	NA	Beijing	http://www.isuresults.com/bios/isufs00002485.htm	Yunfei	LI
Tangxu LI	CHN	1999-11-15	Harbin	170	Harbin	athlete, student	reading, computer games	2005	Heilongjiang Ice Training Centre	Caishu Fu	Elvin Huang	Zhaoxiao Xu	28	Harbin	33	Harbin	http://www.isuresults.com/bios/isufs00014311.htm	Tangxu	LI
Yuheng LI	CHN	2000-08-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014316.htm	Yuheng	LI
Jiahao LI	CHN	1999-12-15	Changchun	179	Changchun	student	music, computer games	2005	Jilin Winter Sports Centre	Shizuo Liu	Elvin Huang	NA	30	Changchun	30	Changchun	http://www.isuresults.com/bios/isufs00035023.htm	Jiahao	LI
Jiaxing LIU	CHN	1993-05-13	Harbin	175	Harbin	high school student	music, basketball	1998	Harbin Winter Sports Training Center	Wenyi Cong	Hailan Jiang	Zhongyi Jiao	24	Beijing	24	Harbin	http://www.isuresults.com/bios/isufs00012095.htm	Jiaxing	LIU
Runqi LIU	CHN	1997-04-25	Qiqihar	175	Qiqihar	student	singing, tourism, skating	2003	Qiqihar Winter Sports Centre	Xianming Cao	Xianming Cao	Chunling Zhang	39	Qiqihar	42	Qiqihar	http://www.isuresults.com/bios/isufs00014313.htm	Runqi	LIU
Yunda LU	CHN	2000-05-28	Harbin	169	Harbin	pupil	reading	2005	Heilongjiang Ice Training Centre	Caishu Fu	Elvin Huang	NA	28	Harbin	33	Harbin	http://www.isuresults.com/bios/isufs00014314.htm	Yunda	LU
Xiaodong MA	CHN	1982-10-10	Harbin	170	Harbin	Student	music, football, movies	1987	Heilongjiang Skating Club	Xu Zhaoxiao	Hailan Jian (SP), Wei Liu (FS)	NA	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00003638.htm	Xiaodong	MA
Yingdi MA	CHN	1984-05-17	Harbin	170	Beijing	Student	music, reading	1989	Heilonjiang Skating Club	Zhaoziao Zu	NA	Shuguang Jia	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00005118.htm	Yingdi	MA
Guofeng PAN	CHN	1986-08-10	Harbin	172	Beijing	student	music, movies	1991	Harbin Skating Club	Hajun Gao	Hailan Jiang, Liji Yu	Baolin Jian	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00006337.htm	Guofeng	PAN
Lun SONG	CHN	1981-01-18	Qiqihar	175	Beijing	student	football, basketball	NA	NA	Lijie Yu	Joanne McLeod	NA	20	Beijing	21	Beijing	http://www.isuresults.com/bios/isufs00007158.htm	Lun	SONG
Nan SONG	CHN	1990-08-09	Qiqihar	178	Qiqihar	student, athlete	music, basketball	1995	NA	Wei Li	David Wilson	Sun Yi, Chungling Zhang	34	Beijing	28	Beijing	http://www.isuresults.com/bios/isufs00010636.htm	Nan	SONG
Zijing TENG	CHN	1996-07-08	Harbin	179	Harbin	student, athlete	dancing, music, playing games	2002	Xin Xiu SC	Zhigang Yang	Wei Zhang	NA	28	Harbin	28	Harbin	http://www.isuresults.com/bios/isufs00034207.htm	Zijing	TENG
Lei WANG	CHN	1988-07-11	Harbin	176	Harbin	student	music, swimming	NA	NA	Zhigang Yang	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00007093.htm	Lei	WANG
Yi WANG	CHN	1992-08-18	Liaoyuan	170	Changchun	student	playing the piano, reading	2001	NA	Lijie Yu	Anjelika Krylova, Pasquale Camerlengo	NA	24	Beijing	26	Beijing	http://www.isuresults.com/bios/isufs00010543.htm	Yi	WANG
Jinze WANG	CHN	1999-03-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014315.htm	Jinze	WANG
Jialiang WU	CHN	1985-06-23	Harbin	180	Beijing	student	music, reading, computer games, badminton	1989	Heilongjiang Skating Club	Lijie Yu	Hailan Jiang, Feng Huang	Zhaoxiao Xu	29	Beijing	25	Beijing	http://www.isuresults.com/bios/isufs00005105.htm	Jialiang	WU
Ming XU	CHN	1981-07-18	Qiqihar	174	Beijing	student	music, movies, billiards, Chinese chess	1985	Harbin Club	Lijie Yu	Nikolai Morozov	Wei Li	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00009664.htm	Ming	XU
Han YAN	CHN	1996-03-06	Harbin	170	Harbin	student, athlete	dancing, music, computer games	2002	Heilongjiang Ice Training Centre	Shuguang Jia	Lori Nichol	Bing Huang	36	Beijing	36	Beijing	http://www.isuresults.com/bios/isufs00012352.htm	Han	YAN
Zhixue YANG	CHN	1987-01-29	Qiqihar	182	Harbin	student	internet, dancing	1994	Heilongjiang Skating Club	Caishu Fu	Caishu Fu	Chune Li	14	Harbin	15	Harbin	http://www.isuresults.com/bios/isufs00007601.htm	Zhixue	YANG
Chao YANG	CHN	1989-07-26	Harbin	177	Beijing	student	music, internet, computer games	1995	Heilongjiang SC	Ying Liu	Hailan Jiang	Zhaoxiao Xu	30	Beijing	30	Beijing	http://www.isuresults.com/bios/isufs00008985.htm	Chao	YANG
Rui YI	CHN	1984-04-17	Qiqihre	169	Beijing	NA	NA	NA	NA	Gao Hou Jun	NA	NA	26	Beijing	28	Beijing	http://www.isuresults.com/bios/isufs00005119.htm	Rui	YI
Wenbo ZANG	CHN	1996-06-19	Qiqihar	173	Qiqihar	student, athlete	music	2001	NA	Ming Xu	Chen Wang	Ming Li	47	Qiqihar	38	Qiqihar	http://www.isuresults.com/bios/isufs00012586.htm	Wenbo	ZANG
Min ZHANG	CHN	1976-03-24	Qiqihar	176	Beijing	Student	basketball, computer	1980	Qiqihar Skating Club	Haijun Gao	Joanne McLeod	Li Ning	20	Beijing	20	Beijing	http://www.isuresults.com/bios/isufs00003104.htm	Min	ZHANG
He ZHANG	CHN	1996-11-05	Changchun	172	Changchun	student	music, reading	2002	Jilin Winter Sports Centre	Xin Zhang	David Wilson	Xin Liu, Shanwei Guan	28	Changchun	33	Changchun	http://www.isuresults.com/bios/isufs00012835.htm	He	ZHANG
Chih-Sheng CHANG	TPE	1998-06-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014565.htm	Chih-Sheng	CHANG
Andy  CHEN	TPE	1986-07-12	Tainan	169	Lake Arrowhead USA	student	swimming, computers, skating	NA	NA	Anthony Liu, Igor Pashkevich	Scott Brown	NA	24	Lake Arrowhaed USA	24	Lake Arrowhaed USA	http://www.isuresults.com/bios/isufs00007115.htm	Andy  CHE	Andy  CHEN
Jui-Shu CHEN	TPE	1993-10-15	Taipei City	173	Taipei City	student	reading, music, computer games	2002	NA	Shih-Hao Lu, Yusuke Hayashi, Gui-Fang Zhu	Yusuke Hayashi, Rie Arikawa	Ching Feng Kuo	18	Taipei City	18	Taipei City	http://www.isuresults.com/bios/isufs00012841.htm	Jui-Shu	CHEN
Jordan JU	TPE	1995-05-29	Vancouver CAN	180	Maple Ridge CAN	student	skating, music, sports, games	2000	Coquiltam SC	Zdenek Pazidirek	Aaron Lowe, Tom Dickson	Joanne McLeod, Bruno Delmaestro	33	Coquiltam/CAN	33	Coquiltam/CAN	http://www.isuresults.com/bios/isufs00012773.htm	Jordan	JU
Stephen Li-Chung KUO	TPE	1990-07-27	Trenton NJ, USA	175	Piscataway NJ, USA	college student	juggling, playing violin, reading, music	2000	NA	Roland Burghart	Evgeni Platov, Kristine Nielsen	Roman Serov, Vladimir Kaparov, Robin Wagner, Amy Lambert	12	HackensackUSA	18	Hackensack/USA	http://www.isuresults.com/bios/isufs00011911.htm	Stephen Li-Chung	KUO
Peter LEE	TPE	1984-03-24	Taipei	174	Calgary (CAN)	student	swimming, basketball, computer	NA	NA	Sunny Lee	Sunny Lee	NA	25	Calgary	22	Calgary	http://www.isuresults.com/bios/isufs00005737.htm	Peter	LEE
Meng Ju LEE	TPE	1996-01-14	Taipei	167	Taipei	high school student	games	2006	NA	Michael Hopfes, Spencer Lee, Doug Leigh	Fong Huang	Li Ning, Zhu Hui Fang	25	Barrie/CAN, Taipei	25	Barrie/CAN, Taipei	http://www.isuresults.com/bios/isufs00054348.htm	Meng Ju	LEE
Charles Shou-San PAO	TPE	1988-10-08	Richardson USA	168	Plano USA	college student	football, soccer, basketball, hockey	1997	NA	Alexei Letov, Olga Ganicheva	Olga Ganicheva	Chris Browne	17	Frisco, TX/USA	11	Frisco, TX/USA	http://www.isuresults.com/bios/isufs00011902.htm	Charles Shou-San	PAO
Wun-Chang SHIH	TPE	1986-10-03	Taipei	163	Taipei	student	basketball, squash, badminton	1998	NA	Nobuo Sato	Kumiko Sato, Li-Wen Wang	Chu-Mei Shih	15	Taipei	21	atTaipei	http://www.isuresults.com/bios/isufs00011903.htm	Wun-Chang	SHIH
Darryll SULINDRO-YANG	TPE	1987-10-26	Los Angeles CA	175	San Marino CA	student	reading, playing piano, computer games, swimmin	1996	Orange County FSC	Peter Oppegard, Randy Gardner	Rene Rocca, Peter Oppegard	John Nicks, Jenni Meno, Todd Sand	4	Paramount Island	2	Paramount Island	http://www.isuresults.com/bios/isufs00009758.htm	Darryll	SULINDRO-YANG
